Condition	Subject	Session	Correct	CorrectAns	Response	RT
2_	9	1	0	12	1	18422
2_	9	1	1	13	13	2364
2_	9	1	0	14	4	7885
2_	9	1	0	15	17	11576
2_	9	1	0	16	17	5085
2_	9	1	0	17	16	1889
2_	9	1	0	18	1	7489
3_	14	2	0	1	16	3144
3_	14	2	1	2	2	2344
3_	14	2	1	3	3	2018
3_	14	2	1	4	4	5994
3_	14	2	1	5	5	2000
3_	14	2	0	6	3	5047
3_	14	2	1	7	7	7994
3_	14	2	1	8	8	6736
3_	14	2	1	9	9	15052
3_	14	2	0	10	13	8015
3_	14	2	1	11	11	11665
3_	14	2	1	12	12	1516
3_	14	2	0	13	4	10980
3_	14	2	1	14	14	2457
3_	14	2	0	15	10	7916
3_	14	2	0	16	9	8982
3_	14	2	1	17	17	3330
3_	14	2	1	18	18	13047
3_	24	1	1	1	1	1932
3_	24	1	1	2	2	1809
3_	24	1	1	3	3	1987
3_	24	1	1	4	4	2649
3_	24	1	1	5	5	1861
3_	24	1	1	6	6	5833
3_	24	1	1	7	7	2179
3_	24	1	1	8	8	2593
3_	24	1	1	9	9	3507
3_	24	1	0	10	16	8769
3_	24	1	0	11	15	12849
3_	24	1	1	12	12	1183
3_	24	1	1	13	13	1987
3_	24	1	1	14	14	3420
3_	24	1	1	15	15	1476
3_	24	1	0	16	9	1779
3_	24	1	1	17	17	1864
3_	24	1	0	18	8	3893
3_	29	1	0	1	10	6481
3_	29	1	1	2	2	6397
3_	29	1	0	3	17	2250
3_	29	1	1	4	4	2546
3_	29	1	0	5	9	3706
3_	29	1	0	6	11	3896
3_	29	1	0	7	3	5400
3_	29	1	0	8	7	2318
3_	29	1	0	9	1	6302
3_	29	1	0	10	11	5155
3_	29	1	0	11	15	1783
3_	29	1	0	12	5	5505
3_	29	1	0	13	16	1807
3_	29	1	0	14	9	4944
3_	29	1	0	15	6	5986
3_	29	1	1	16	16	2692
3_	29	1	0	17	1	4420
3_	29	1	0	18	8	2867
3_	4	3	0	1	2	10157
3_	4	3	0	2	9	25417
3_	4	3	1	3	3	9883
3_	4	3	1	4	4	3934
3_	4	3	1	5	5	2762
3_	4	3	0	6	11	4460
3_	4	3	1	7	7	8120
3_	4	3	1	8	8	3551
3_	4	3	1	9	9	18294
3_	4	3	0	10	15	4453
3_	4	3	0	11	16	5567
3_	4	3	1	12	12	1911
3_	4	3	0	13	17	15745
3_	4	3	1	14	14	3464
3_	4	3	1	15	15	4555
3_	4	3	0	16	10	14162
3_	4	3	0	17	11	3403
3_	4	3	1	18	18	6881
3_	9	3	1	1	1	1626
3_	9	3	1	2	2	1577
3_	9	3	1	3	3	1751
3_	9	3	1	4	4	4964
3_	9	3	1	5	5	1621
3_	9	3	1	6	6	2149
3_	9	3	1	7	7	4147
3_	9	3	1	8	8	1912
3_	9	3	1	9	9	1953
3_	9	3	1	10	10	1958
3_	9	3	1	11	11	926
3_	9	3	1	12	12	1503
3_	9	3	1	13	13	5676
3_	9	3	1	14	14	3578
3_	9	3	1	15	15	12832
3_	9	3	1	16	16	2458
3_	9	3	1	17	17	1550
3_	9	3	1	18	18	3556
4_	14	3	1	1	1	3656
4_	14	3	1	2	2	1868
4_	14	3	0	3	13	5330
4_	14	3	1	4	4	1230
4_	14	3	1	5	5	15323
4_	14	3	1	6	6	1746
4_	14	3	1	7	7	3099
4_	14	3	1	8	8	1988
4_	14	3	1	9	9	2807
4_	14	3	1	10	10	2008
4_	14	3	1	11	11	1227
4_	14	3	1	12	12	5906
4_	14	3	0	13	3	3438
4_	14	3	1	14	14	1828
4_	14	3	1	15	15	1680
4_	14	3	1	16	16	1988
4_	14	3	1	17	17	9335
4_	14	3	1	18	18	1732
4_	24	2	1	1	1	1417
4_	24	2	0	2	9	2306
4_	24	2	1	3	3	2302
4_	24	2	0	4	7	4963
4_	24	2	0	5	6	1501
4_	24	2	1	6	6	3779
4_	24	2	1	7	7	2751
4_	24	2	1	8	8	1159
4_	24	2	1	9	9	2227
4_	24	2	1	10	10	1005
4_	24	2	1	11	11	1065
4_	24	2	1	12	12	6729
4_	24	2	1	13	13	2189
4_	24	2	1	14	14	2311
4_	24	2	1	15	15	1445
4_	24	2	1	16	16	3083
4_	24	2	1	17	17	2047
4_	24	2	1	18	18	2894
4_	29	2	0	1	4	7730
4_	29	2	1	2	2	7448
4_	29	2	0	3	5	3374
4_	29	2	0	4	3	3899
4_	29	2	0	5	9	5341
4_	29	2	0	6	4	12484
4_	29	2	1	7	7	1464
4_	29	2	1	8	8	5469
4_	29	2	0	9	18	3765
4_	29	2	1	10	10	2837
4_	29	2	0	11	9	7600
4_	29	2	1	12	12	1678
4_	29	2	1	13	13	2266
4_	29	2	1	14	14	3538
4_	29	2	0	15	3	7236
4_	29	2	1	16	16	4958
4_	29	2	0	17	3	6195
4_	29	2	0	18	1	5200
4_	4	4	1	1	1	2638
4_	4	4	1	2	2	5598
4_	4	4	1	3	3	2127
4_	4	4	1	4	4	1906
4_	4	4	1	5	5	4832
4_	4	4	1	6	6	2690
4_	4	4	1	7	7	2026
4_	4	4	1	8	8	2218
4_	4	4	1	9	9	15832
4_	4	4	1	10	10	1761
4_	4	4	1	11	11	1388
4_	4	4	1	12	12	2288
4_	4	4	1	13	13	4028
4_	4	4	1	14	14	1737
4_	4	4	0	15	8	5579
4_	4	4	1	16	16	1534
