Condition	Subject	Session	Correct	CorrectAns	Response	RT
2_	23	3	1	5	5	2034
2_	23	3	0	6	18	3837
2_	23	3	0	7	12	4849
2_	23	3	0	8	17	3088
2_	23	3	1	9	9	886
2_	23	3	0	10	7	2407
2_	23	3	0	11	4	2298
2_	23	3	0	12	1	3434
2_	23	3	1	13	13	2477
2_	23	3	0	14	6	2410
2_	23	3	1	15	15	2828
2_	23	3	0	16	7	2035
2_	23	3	0	17	10	1742
2_	23	3	0	18	1	2728
2_	28	4	1	1	1	4916
2_	28	4	1	2	2	3285
2_	28	4	1	3	3	7842
2_	28	4	1	4	4	2963
2_	28	4	1	5	5	3117
2_	28	4	0	6	16	7023
2_	28	4	1	7	7	1853
2_	28	4	0	8	13	3097
2_	28	4	1	9	9	3881
2_	28	4	1	10	10	1565
2_	28	4	1	11	11	1254
2_	28	4	1	12	12	10539
2_	28	4	1	13	13	2964
2_	28	4	1	14	14	3468
2_	28	4	1	15	15	1277
2_	28	4	0	16	8	10481
2_	28	4	0	17	15	1396
2_	28	4	0	18	6	13990
2_	3	2	0	1	12	3010
2_	3	2	0	2	16	3128
2_	3	2	1	3	3	3720
2_	3	2	1	4	4	2487
2_	3	2	1	5	5	5038
2_	3	2	0	6	1	5666
2_	3	2	0	7	14	4425
2_	3	2	0	8	18	7312
2_	3	2	1	9	9	2058
2_	3	2	0	10	2	4762
2_	3	2	1	11	11	1863
2_	3	2	1	12	12	5444
2_	3	2	1	13	13	3656
2_	3	2	0	14	17	4109
2_	3	2	1	15	15	2086
2_	3	2	0	16	15	8566
2_	3	2	0	17	10	3267
2_	3	2	0	18	2	4582
2_	8	1	1	1	1	7473
2_	8	1	0	2	3	5323
2_	8	1	0	3	16	1478
2_	8	1	0	4	17	1553
2_	8	1	1	5	5	2478
2_	8	1	0	6	13	4343
2_	8	1	1	7	7	6376
2_	8	1	1	8	8	8663
2_	8	1	0	9	6	2897
2_	8	1	0	10	9	3622
2_	8	1	0	11	4	1927
2_	8	1	0	12	15	2440
2_	8	1	0	13	12	3178
2_	8	1	0	14	2	2223
2_	8	1	0	15	11	3890
2_	8	1	0	16	18	1600
2_	8	1	0	17	14	6562
2_	8	1	0	18	15	3796
3_	13	3	1	1	1	2465
3_	13	3	1	2	2	3509
3_	13	3	0	3	4	3898
3_	13	3	0	4	5	7410
3_	13	3	0	5	13	1925
3_	13	3	1	6	6	4778
3_	13	3	1	7	7	2759
3_	13	3	1	8	8	3210
3_	13	3	0	9	3	13300
3_	13	3	1	10	10	1575
3_	13	3	1	11	11	954
3_	13	3	0	12	3	2113
3_	13	3	0	13	18	8889
3_	13	3	1	14	14	2624
3_	13	3	1	15	15	2560
3_	13	3	0	16	12	5987
3_	13	3	1	17	17	1445
3_	13	3	1	18	18	5924
3_	18	2	1	1	1	2398
3_	18	2	0	2	10	5717
3_	18	2	1	3	3	1533
3_	18	2	0	4	12	1524
3_	18	2	1	5	5	3536
3_	18	2	1	6	6	3790
3_	18	2	0	7	9	8730
3_	18	2	1	8	8	1073
3_	18	2	0	9	16	3336
3_	18	2	0	10	7	5501
3_	18	2	1	11	11	3570
3_	18	2	0	12	4	6115
3_	18	2	1	13	13	2139
3_	18	2	1	14	14	6404
3_	18	2	1	15	15	1388
3_	18	2	0	16	2	6742
3_	18	2	1	17	17	2222
3_	18	2	1	18	18	1749
3_	23	1	0	1	18	4920
3_	23	1	0	2	8	5122
3_	23	1	0	3	17	1868
3_	23	1	0	4	14	3889
3_	23	1	0	5	13	3458
3_	23	1	0	6	16	3837
3_	23	1	0	7	6	2713
3_	23	1	0	8	7	3746
3_	23	1	1	9	9	3659
3_	23	1	1	10	10	2803
3_	23	1	1	11	11	2220
3_	23	1	0	12	3	3694
3_	23	1	0	13	5	2333
3_	23	1	0	14	16	2388
3_	23	1	0	15	14	7731
3_	23	1	0	16	9	2137
3_	23	1	0	17	10	3178
3_	23	1	0	18	12	1992
3_	28	1	0	1	16	20524
3_	28	1	1	2	2	2779
3_	28	1	0	3	6	5546
3_	28	1	1	4	4	9755
3_	28	1	1	5	5	7367
3_	28	1	1	6	6	3530
3_	28	1	0	7	1	6494
3_	28	1	1	8	8	7061
3_	28	1	0	9	10	7097
3_	28	1	0	10	18	7954
3_	28	1	1	11	11	1534
3_	28	1	1	12	12	2602
3_	28	1	1	13	13	7811
3_	28	1	1	14	14	3444
3_	28	1	0	15	6	8932
3_	28	1	0	16	17	2633
3_	28	1	0	17	3	6428
3_	28	1	0	18	7	8158
3_	3	3	0	1	18	15246
3_	3	3	0	2	16	4113
3_	3	3	0	3	7	8854
3_	3	3	0	4	1	3874
3_	3	3	0	5	17	3272
3_	3	3	0	6	14	5458
3_	3	3	0	7	16	6794
3_	3	3	1	8	8	2093
3_	3	3	0	9	17	4010
3_	3	3	0	10	3	4934
3_	3	3	1	11	11	2906
3_	3	3	1	12	12	1702
3_	3	3	0	13	5	3235
3_	3	3	0	14	4	6778
3_	3	3	0	15	7	8930
3_	3	3	0	16	6	2925
3_	3	3	0	17	10	8028
3_	3	3	0	18	13	3295
3_	8	3	0	1	10	1375
3_	8	3	0	2	9	2001
3_	8	3	0	3	15	1171
3_	8	3	0	4	1	1891
3_	8	3	0	5	18	911
3_	8	3	0	6	16	747
3_	8	3	0	7	13	4474
3_	8	3	0	8	14	1065
3_	8	3	0	9	4	1079
3_	8	3	0	10	17	1315
3_	8	3	0	11	6	3112
3_	8	3	0	12	16	2137
3_	8	3	0	13	11	1440
3_	8	3	0	14	2	3371
3_	8	3	0	15	5	1855
3_	8	3	0	16	7	4943
3_	8	3	0	17	8	2711
3_	8	3	0	18	3	1617
4_	13	4	1	1	1	1885
4_	13	4	0	2	6	6943
4_	13	4	1	3	3	3361
4_	13	4	1	4	4	1491
4_	13	4	0	5	2	6132
4_	13	4	1	6	6	3632
4_	13	4	1	7	7	1818
4_	13	4	1	8	8	1698
4_	13	4	1	9	9	5372
4_	13	4	1	10	10	1639
4_	13	4	1	11	11	1188
4_	13	4	1	12	12	1790
4_	13	4	1	13	13	2256
4_	13	4	1	14	14	1907
4_	13	4	1	15	15	1288
4_	13	4	1	16	16	2167
4_	13	4	1	17	17	2170
4_	13	4	1	18	18	1876
4_	18	1	1	1	1	12937
4_	18	1	0	2	3	7201
4_	18	1	0	3	2	9864
4_	18	1	1	4	4	1395
4_	18	1	1	5	5	2154
4_	18	1	1	6	6	5983
4_	18	1	1	7	7	2289
4_	18	1	0	8	2	12217
4_	18	1	1	9	9	1420
4_	18	1	1	10	10	5402
4_	18	1	1	11	11	902
4_	18	1	0	12	8	8632
4_	18	1	1	13	13	2090
4_	18	1	0	14	18	7868
4_	18	1	0	15	18	1693
4_	18	1	1	16	16	1692
4_	18	1	0	17	12	6099
4_	18	1	1	18	18	3805
4_	23	2	1	1	1	1847
4_	23	2	0	2	9	6534
4_	23	2	1	3	3	4522
4_	23	2	0	4	11	2459
4_	23	2	1	5	5	4064
4_	23	2	1	6	6	1722
4_	23	2	1	7	7	2091
4_	23	2	0	8	5	3635
4_	23	2	1	9	9	4303
4_	23	2	1	10	10	1145
4_	23	2	0	11	8	5612
4_	23	2	0	12	8	5063
4_	23	2	0	13	12	3442
4_	23	2	0	14	9	8897
4_	23	2	1	15	15	2641
4_	23	2	1	16	16	1682
4_	23	2	1	17	17	1764
4_	23	2	1	18	18	1576
4_	28	2	1	1	1	1683
4_	28	2	1	2	2	1727
4_	28	2	1	3	3	6359
4_	28	2	1	4	4	7087
4_	28	2	1	5	5	11609
4_	28	2	1	6	6	1755
4_	28	2	1	7	7	2631
4_	28	2	0	8	15	17645
4_	28	2	1	9	9	4762
4_	28	2	0	10	11	3075
4_	28	2	1	11	11	2907
4_	28	2	1	12	12	3162
4_	28	2	1	13	13	2610
4_	28	2	1	14	14	1348
4_	28	2	1	15	15	3298
4_	28	2	1	16	16	2650
4_	28	2	1	17	17	1361
4_	28	2	1	18	18	2132
4_	3	4	1	1	1	2627
4_	3	4	1	2	2	7622
4_	3	4	1	3	3	4833
4_	3	4	1	4	4	1288
4_	3	4	0	5	9	9576
4_	3	4	0	6	5	3754
4_	3	4	1	7	7	1409
4_	3	4	0	8	10	8602
4_	3	4	0	9	15	15177
4_	3	4	0	10	6	4713
4_	3	4	1	11	11	4505
4_	3	4	1	12	12	5977
4_	3	4	1	13	13	18230
4_	3	4	1	14	14	1495
4_	3	4	1	15	15	2743
4_	3	4	1	16	16	1931
4_	3	4	1	17	17	2739
4_	3	4	1	18	18	2784
4_	8	4	0	1	4	3298
4_	8	4	1	2	2	2574
4_	8	4	0	3	10	1906
4_	8	4	0	4	11	2378
4_	8	4	0	5	3	2025
4_	8	4	0	6	12	1813
4_	8	4	1	7	7	1294
4_	8	4	0	8	18	3263
4_	8	4	0	9	5	1773
4_	8	4	0	10	17	1753
4_	8	4	0	11	9	1924
4_	8	4	0	12	13	2389
4_	8	4	0	13	1	2816
4_	8	4	0	14	8	9412
4_	8	4	1	15	15	2538
4_	8	4	1	16	16	5968
4_	8	4	0	17	14	2639
4_	8	4	0	18	11	8722
1_	1	1	0	1	9	12604
1_	1	1	0	2	6	9345
1_	1	1	1	3	3	2392
1_	1	1	1	4	4	1848
1_	1	1	0	5	15	4909
1_	1	1	0	6	5	3148
1_	1	1	1	7	7	1750
1_	1	1	1	8	8	3210
1_	1	1	0	9	12	6470
1_	1	1	0	10	17	4986
1_	1	1	0	11	13	7033
1_	1	1	0	12	11	4722
1_	1	1	1	13	13	3537
1_	1	1	1	14	14	6181
1_	1	1	0	15	10	7722
1_	1	1	1	16	16	5304
1_	1	1	0	17	14	4426
1_	1	1	1	18	18	5562
1_	11	1	0	1	7	6931
1_	11	1	1	2	2	3192
1_	11	1	0	3	9	5178
1_	11	1	0	4	12	4640
1_	11	1	1	5	5	2771
1_	11	1	0	6	12	8642
1_	11	1	0	7	1	5105
1_	11	1	1	8	8	4757
1_	11	1	0	9	7	4731
1_	11	1	0	10	14	5431
1_	11	1	0	11	16	3313
1_	11	1	0	12	3	3442
1_	11	1	0	13	18	10250
1_	11	1	0	14	4	5176
1_	11	1	1	15	15	1344
1_	11	1	1	16	16	1592
1_	11	1	1	17	17	1650
1_	11	1	0	18	10	5449
1_	16	4	0	1	10	12061
1_	16	4	0	2	1	3448
1_	16	4	1	3	3	2833
1_	16	4	1	4	4	2844
1_	16	4	0	5	1	3843
1_	16	4	0	6	9	5154
1_	16	4	1	7	7	1927
1_	16	4	1	8	8	2533
1_	16	4	0	9	2	5052
1_	16	4	0	10	5	4441
1_	16	4	0	11	14	3747
1_	16	4	1	12	12	1670
1_	16	4	1	13	13	1624
1_	16	4	0	14	6	3349
1_	16	4	0	15	5	3362
1_	16	4	1	16	16	2580
1_	16	4	0	17	2	5883
1_	16	4	1	18	18	1981
1_	19	4	0	1	11	4666
1_	19	4	1	2	2	2095
1_	19	4	1	3	3	3328
1_	19	4	0	4	9	10461
1_	19	4	0	5	7	4929
1_	19	4	0	6	12	10245
1_	19	4	0	7	13	1697
1_	19	4	1	8	8	4549
1_	19	4	0	9	6	4970
1_	19	4	1	10	10	5804
1_	19	4	0	11	1	5257
1_	19	4	0	12	11	13619
1_	19	4	0	13	16	9875
1_	19	4	0	14	15	1534
1_	19	4	0	15	6	20429
1_	19	4	0	16	4	9820
1_	19	4	0	17	5	23529
1_	19	4	0	18	17	7557
1_	21	4	0	1	3	1168
1_	21	4	0	2	16	728
1_	21	4	0	3	4	543
1_	21	4	0	4	17	535
1_	21	4	0	5	4	1074
1_	21	4	0	6	7	912
1_	21	4	0	7	12	1025
1_	21	4	0	8	18	1018
1_	21	4	0	9	1	1354
1_	21	4	0	10	14	1150
1_	21	4	0	11	8	1187
1_	21	4	0	12	9	903
1_	21	4	0	13	1	1134
1_	21	4	0	14	15	1317
1_	21	4	0	15	11	1244
1_	21	4	0	16	3	947
1_	21	4	0	17	9	848
1_	21	4	0	18	7	786
1_	26	3	1	1	1	6729
1_	26	3	1	2	2	3613
1_	26	3	1	3	3	1712
1_	26	3	0	4	15	1852
1_	26	3	0	5	13	3210
1_	26	3	0	6	10	3203
1_	26	3	1	7	7	1803
1_	26	3	1	8	8	3303
1_	26	3	1	9	9	2020
1_	26	3	0	10	11	3843
1_	26	3	0	11	4	3234
1_	26	3	0	12	6	3301
1_	26	3	0	13	12	2355
1_	26	3	0	14	15	2727
1_	26	3	0	15	5	2700
1_	26	3	0	16	12	3250
1_	26	3	1	17	17	1754
1_	26	3	0	18	16	4257
1_	6	2	0	1	10	2625
1_	6	2	1	2	2	2749
1_	6	2	0	3	9	3010
1_	6	2	0	4	3	2558
1_	6	2	1	5	5	1838
1_	6	2	0	6	14	4635
1_	6	2	0	7	4	2247
1_	6	2	0	8	4	5161
1_	6	2	0	9	7	4196
1_	6	2	1	10	10	1868
1_	6	2	0	11	16	3967
1_	6	2	0	12	6	1704
1_	6	2	1	13	13	1539
1_	6	2	1	14	14	5847
1_	6	2	1	15	15	1239
1_	6	2	0	16	8	3161
1_	6	2	1	17	17	1713
1_	6	2	1	18	18	2822
2_	1	2	1	1	1	3290
2_	1	2	0	2	18	15032
2_	1	2	0	3	10	8742
2_	1	2	1	4	4	8118
2_	1	2	1	5	5	1609
2_	1	2	1	6	6	2545
2_	1	2	1	7	7	2038
2_	1	2	1	8	8	4304
2_	1	2	1	9	9	3696
2_	1	2	1	10	10	11021
2_	1	2	1	11	11	1775
2_	1	2	1	12	12	2601
2_	1	2	1	13	13	3234
2_	1	2	1	14	14	2306
2_	1	2	1	15	15	2702
2_	1	2	1	16	16	1649
2_	1	2	0	17	2	10267
2_	1	2	0	18	4	15511
2_	11	4	0	1	18	7812
2_	11	4	0	2	16	1822
2_	11	4	1	3	3	2068
2_	11	4	0	4	10	5308
2_	11	4	0	5	1	2281
2_	11	4	0	6	14	5126
2_	11	4	0	7	8	3946
2_	11	4	0	8	13	2603
2_	11	4	1	9	9	1332
2_	11	4	0	10	5	2946
2_	11	4	1	11	11	1909
2_	11	4	0	12	2	2819
2_	11	4	1	13	13	9281
2_	11	4	0	14	6	3099
2_	11	4	0	15	5	2731
2_	11	4	0	16	1	3272
2_	11	4	1	17	17	1577
2_	11	4	0	18	5	10092
2_	16	3	1	1	1	4032
2_	16	3	0	2	14	3980
2_	16	3	0	3	8	4626
2_	16	3	0	4	16	4865
2_	16	3	1	5	5	1817
2_	16	3	0	6	14	4019
2_	16	3	1	7	7	1777
2_	16	3	0	8	18	9464
2_	16	3	0	9	15	2575
2_	16	3	0	10	11	3801
2_	16	3	0	11	9	3671
2_	16	3	1	12	12	2744
2_	16	3	0	13	2	2146
2_	16	3	0	14	17	3369
2_	16	3	0	15	8	4628
2_	16	3	0	16	13	3753
2_	16	3	0	17	6	3224
2_	16	3	1	18	18	3342
2_	19	3	0	1	14	10883
2_	19	3	0	2	4	6014
2_	19	3	0	3	17	10273
2_	19	3	0	4	12	3651
2_	19	3	1	5	5	5734
2_	19	3	0	6	9	5549
2_	19	3	1	7	7	2792
2_	19	3	0	8	1	6115
2_	19	3	1	9	9	3845
2_	19	3	1	10	10	3035
2_	19	3	1	11	11	1406
2_	19	3	0	12	6	5305
2_	19	3	1	13	13	3671
2_	19	3	0	14	16	3813
2_	19	3	1	15	15	1761
2_	19	3	0	16	6	6563
2_	19	3	0	17	8	14322
2_	19	3	1	18	18	7188
2_	21	3	0	1	5	1298
2_	21	3	0	2	16	1442
2_	21	3	0	3	4	1105
2_	21	3	0	4	17	1378
2_	21	3	0	5	12	1528
2_	21	3	0	6	14	1169
2_	21	3	0	7	2	1327
2_	21	3	0	8	13	1420
2_	21	3	0	9	3	1650
2_	21	3	0	10	3	1677
2_	21	3	0	11	8	867
2_	21	3	0	12	13	1310
2_	21	3	0	13	18	1461
2_	21	3	0	14	18	1307
2_	21	3	0	15	17	950
2_	21	3	0	16	10	1256
2_	21	3	0	17	14	1092
2_	21	3	0	18	4	1226
2_	26	4	0	1	7	1763
2_	26	4	0	2	9	2699
2_	26	4	0	3	12	2700
2_	26	4	0	4	14	3107
2_	26	4	0	5	17	2361
2_	26	4	0	6	5	1477
2_	26	4	0	7	15	1822
2_	26	4	0	8	16	2486
2_	26	4	0	9	4	1947
2_	26	4	0	10	15	3867
2_	26	4	0	11	8	2818
2_	26	4	0	12	13	1908
2_	26	4	0	13	3	1876
2_	26	4	0	14	11	2308
2_	26	4	0	15	18	2429
2_	26	4	0	16	6	4604
2_	26	4	0	17	13	2794
2_	26	4	0	18	1	2735
2_	6	1	1	1	1	2065
2_	6	1	1	2	2	3518
2_	6	1	1	3	3	2719
2_	6	1	1	4	4	5881
2_	6	1	1	5	5	1932
2_	6	1	1	6	6	2838
2_	6	1	1	7	7	1581
2_	6	1	1	8	8	3266
2_	6	1	1	9	9	4284
2_	6	1	1	10	10	2161
2_	6	1	0	11	4	2178
2_	6	1	0	12	16	2203
2_	6	1	0	13	4	2217
2_	6	1	0	14	18	4000
2_	6	1	0	15	2	5495
2_	6	1	0	16	13	1977
2_	6	1	0	17	14	3831
2_	6	1	0	18	13	4367
3_	1	3	0	1	13	10447
3_	1	3	1	2	2	10473
3_	1	3	0	3	18	14757
3_	1	3	0	4	2	2416
3_	1	3	1	5	5	3086
3_	1	3	1	6	6	1660
3_	1	3	1	7	7	6170
3_	1	3	0	8	12	2725
3_	1	3	1	9	9	1866
3_	1	3	1	10	10	2033
3_	1	3	1	11	11	1636
3_	1	3	0	12	1	5352
3_	1	3	0	13	15	5878
3_	1	3	1	14	14	2123
3_	1	3	1	15	15	4322
3_	1	3	1	16	16	1416
3_	1	3	1	17	17	1504
3_	1	3	0	18	12	3819
3_	11	2	1	1	1	3388
3_	11	2	1	2	2	8134
3_	11	2	0	3	16	4740
3_	11	2	0	4	12	1898
3_	11	2	0	5	7	3931
3_	11	2	0	6	7	3145
3_	11	2	0	7	10	5018
3_	11	2	1	8	8	1944
3_	11	2	1	9	9	2187
3_	11	2	0	10	5	2916
3_	11	2	0	11	16	1949
3_	11	2	0	12	11	7322
3_	11	2	1	13	13	1997
3_	11	2	1	14	14	6961
3_	11	2	0	15	6	4739
3_	11	2	0	16	1	3877
3_	11	2	0	17	4	4065
3_	11	2	1	18	18	5187
3_	16	2	1	1	1	3599
3_	16	2	0	2	18	4734
3_	16	2	0	3	5	3219
3_	16	2	1	4	4	3010
3_	16	2	1	5	5	2886
3_	16	2	0	6	14	6680
3_	16	2	0	7	14	7709
3_	16	2	1	8	8	5601
3_	16	2	0	9	13	5022
3_	16	2	1	10	10	2869
3_	16	2	1	11	11	1406
3_	16	2	0	12	15	5256
3_	16	2	0	13	6	3660
3_	16	2	0	14	6	4104
3_	16	2	0	15	12	1851
3_	16	2	0	16	9	4913
3_	16	2	0	17	18	7675
3_	16	2	0	18	17	4129
3_	19	2	1	1	1	4974
3_	19	2	1	2	2	2829
3_	19	2	0	3	7	3123
3_	19	2	0	4	15	2159
3_	19	2	0	5	14	6657
3_	19	2	0	6	13	7050
3_	19	2	0	7	9	3091
3_	19	2	1	8	8	1440
3_	19	2	0	9	18	3558
3_	19	2	0	10	16	4689
3_	19	2	0	11	3	10786
3_	19	2	0	12	13	9381
3_	19	2	0	13	5	4331
3_	19	2	0	14	3	9559
3_	19	2	0	15	4	7155
3_	19	2	0	16	11	6576
3_	19	2	1	17	17	2254
3_	19	2	0	18	12	6090
3_	21	1	0	1	9	1995
3_	21	1	1	2	2	2091
3_	21	1	0	3	18	2994
3_	21	1	0	4	12	1861
3_	21	1	0	5	3	1904
3_	21	1	1	6	6	1509
3_	21	1	0	7	4	1674
3_	21	1	0	8	11	1522
3_	21	1	0	9	17	1741
3_	21	1	0	10	13	2340
3_	21	1	0	11	16	1438
3_	21	1	0	12	7	2205
3_	21	1	0	13	10	54
3_	21	1	0	14	3	1808
3_	21	1	1	15	15	1296
3_	21	1	0	16	10	1429
3_	21	1	1	17	17	1369
3_	21	1	0	18	13	2286
3_	26	1	1	1	1	6176
3_	26	1	0	2	16	5447
3_	26	1	0	3	14	2182
3_	26	1	0	4	16	2281
3_	26	1	0	5	7	6688
3_	26	1	1	6	6	2959
3_	26	1	0	7	9	3186
3_	26	1	0	8	4	4683
3_	26	1	0	9	17	4567
3_	26	1	1	10	10	2545
3_	26	1	0	11	8	2131
3_	26	1	0	12	18	4040
3_	26	1	0	13	2	6418
3_	26	1	0	14	1	2777
3_	26	1	0	15	13	3743
3_	26	1	0	16	5	3601
3_	26	1	0	17	15	8936
3_	26	1	0	18	2	4992
3_	6	3	1	1	1	2665
3_	6	3	1	2	2	6109
3_	6	3	0	3	5	2698
3_	6	3	1	4	4	2408
3_	6	3	0	5	14	2458
3_	6	3	1	6	6	2490
3_	6	3	0	7	3	2406
3_	6	3	1	8	8	1989
3_	6	3	1	9	9	3226
3_	6	3	1	10	10	1930
3_	6	3	1	11	11	1999
3_	6	3	0	12	7	5284
3_	6	3	1	13	13	2639
3_	6	3	0	14	18	4439
3_	6	3	1	15	15	5748
3_	6	3	1	16	16	3034
3_	6	3	1	17	17	1938
3_	6	3	1	18	18	2600
4_	1	4	1	1	1	3623
4_	1	4	0	2	9	6881
4_	1	4	0	3	9	10313
4_	1	4	0	4	7	2006
4_	1	4	1	5	5	3313
4_	1	4	1	6	6	3406
4_	1	4	1	7	7	1845
4_	1	4	1	8	8	10177
4_	1	4	1	9	9	7454
4_	1	4	1	10	10	3645
4_	1	4	1	11	11	1938
4_	1	4	1	12	12	2384
4_	1	4	1	13	13	2052
4_	1	4	1	14	14	1724
4_	1	4	1	15	15	1772
4_	1	4	1	16	16	2440
4_	1	4	0	17	3	8654
4_	1	4	1	18	18	5672
4_	11	3	1	1	1	1206
4_	11	3	1	2	2	2090
4_	11	3	1	3	3	1557
4_	11	3	1	4	4	5639
4_	11	3	1	5	5	3490
4_	11	3	1	6	6	1378
4_	11	3	1	7	7	1572
4_	11	3	1	8	8	1890
4_	11	3	1	9	9	3331
4_	11	3	1	10	10	2012
4_	11	3	1	11	11	3529
4_	11	3	1	12	12	1695
4_	11	3	1	13	13	3656
4_	11	3	1	14	14	2948
4_	11	3	1	15	15	1979
4_	11	3	1	16	16	1476
4_	11	3	1	17	17	3068
4_	11	3	1	18	18	2509
4_	16	1	1	1	1	3460
4_	16	1	0	2	10	6286
4_	16	1	0	3	2	4538
4_	16	1	0	4	3	8231
4_	16	1	0	5	10	4861
4_	16	1	0	6	9	5643
4_	16	1	0	7	12	2544
4_	16	1	0	8	9	8843
4_	16	1	0	9	16	2721
4_	16	1	0	10	8	3187
4_	16	1	0	11	5	2884
4_	16	1	0	12	3	3592
4_	16	1	1	13	13	7362
4_	16	1	1	14	14	1674
4_	16	1	1	15	15	1982
4_	16	1	1	16	16	3752
4_	16	1	0	17	16	7605
4_	16	1	1	18	18	1755
4_	19	1	0	1	5	12856
4_	19	1	1	2	2	11079
4_	19	1	1	3	3	9921
4_	19	1	1	4	4	5495
4_	19	1	0	5	9	18838
4_	19	1	1	6	6	4978
4_	19	1	1	7	7	2277
4_	19	1	0	8	1	13460
4_	19	1	0	9	8	18037
4_	19	1	0	10	8	20426
4_	19	1	0	11	17	9056
4_	19	1	1	12	12	1705
4_	19	1	1	13	13	3554
4_	19	1	1	14	14	1980
4_	19	1	1	15	15	3761
4_	19	1	0	16	17	5748
4_	19	1	0	17	11	16289
4_	19	1	1	18	18	3197
4_	21	2	0	1	12	3573
4_	21	2	0	2	7	641
4_	21	2	0	3	5	1392
4_	21	2	0	4	2	1149
4_	21	2	0	5	4	2116
4_	21	2	0	6	15	1698
4_	21	2	0	7	1	1194
4_	21	2	0	8	14	1033
4_	21	2	0	9	8	1055
4_	21	2	0	10	7	1122
4_	21	2	0	11	13	892
4_	21	2	0	12	3	904
4_	21	2	0	13	17	2509
4_	21	2	0	14	6	1491
4_	21	2	0	15	3	1660
4_	21	2	0	16	11	1216
4_	21	2	0	17	1	1651
4_	21	2	0	18	13	1425
4_	26	2	1	1	1	7268
4_	26	2	1	2	2	10518
4_	26	2	1	3	3	6782
4_	26	2	1	4	4	7053
4_	26	2	0	5	9	3881
4_	26	2	1	6	6	2763
4_	26	2	1	7	7	1333
4_	26	2	0	8	15	3066
4_	26	2	1	9	9	2276
4_	26	2	0	10	5	4828
4_	26	2	1	11	11	2394
4_	26	2	1	12	12	2119
4_	26	2	1	13	13	1992
4_	26	2	1	14	14	2397
4_	26	2	1	15	15	2505
4_	26	2	0	16	5	7222
4_	26	2	1	17	17	1688
4_	26	2	1	18	18	1871
4_	6	4	1	1	1	1346
4_	6	4	0	2	5	5072
4_	6	4	1	3	3	8977
4_	6	4	1	4	4	3137
4_	6	4	1	5	5	4414
4_	6	4	1	6	6	3096
4_	6	4	1	7	7	2652
4_	6	4	1	8	8	2611
4_	6	4	1	9	9	4065
4_	6	4	1	10	10	1871
4_	6	4	1	11	11	3953
4_	6	4	1	12	12	1961
4_	6	4	1	13	13	1634
4_	6	4	1	14	14	4005
4_	6	4	1	15	15	1610
4_	6	4	1	16	16	1642
4_	6	4	1	17	17	2427
4_	6	4	1	18	18	2713
1_	12	1	1	1	1	3400
1_	12	1	0	2	9	5228
1_	12	1	0	3	5	1981
1_	12	1	0	4	15	2644
1_	12	1	0	5	16	3497
1_	12	1	0	6	4	4538
1_	12	1	1	7	7	2539
1_	12	1	1	8	8	1452
1_	12	1	0	9	7	3023
1_	12	1	0	10	14	1357
1_	12	1	0	11	5	4876
1_	12	1	0	12	13	1295
1_	12	1	0	13	15	3136
1_	12	1	1	14	14	4010
1_	12	1	0	15	10	3955
1_	12	1	0	16	2	6090
1_	12	1	0	17	9	3162
1_	12	1	0	18	17	1580
1_	17	4	0	1	18	1657
1_	17	4	0	2	17	2348
1_	17	4	0	3	14	778
1_	17	4	0	4	17	621
1_	17	4	0	5	15	1080
1_	17	4	1	6	6	1727
1_	17	4	1	7	7	1207
1_	17	4	1	8	8	2306
1_	17	4	0	9	14	1182
1_	17	4	0	10	5	2206
1_	17	4	0	11	3	1802
1_	17	4	0	12	5	1136
1_	17	4	1	13	13	1745
1_	17	4	0	14	18	1368
1_	17	4	1	15	15	1508
1_	17	4	0	16	12	1249
1_	17	4	0	17	9	1721
1_	17	4	0	18	4	2568
1_	2	1	0	1	8	10981
1_	2	1	0	2	14	13431
1_	2	1	0	3	2	2262
1_	2	1	0	4	12	2100
1_	2	1	0	5	9	8170
1_	2	1	0	6	7	3288
1_	2	1	0	7	18	4855
1_	2	1	0	8	5	3799
1_	2	1	0	9	13	9394
1_	2	1	0	10	3	7602
1_	2	1	0	11	1	7032
1_	2	1	0	12	4	1964
1_	2	1	0	13	17	7292
1_	2	1	0	14	16	4180
1_	2	1	1	15	15	10893
1_	2	1	0	16	6	5773
1_	2	1	0	17	10	3895
1_	2	1	0	18	13	6026
1_	20	4	1	1	1	1624
1_	20	4	0	2	11	6310
1_	20	4	0	3	10	5198
1_	20	4	0	4	12	4009
1_	20	4	0	5	14	2572
1_	20	4	0	6	15	4562
1_	20	4	1	7	7	2075
1_	20	4	1	8	8	1798
1_	20	4	1	9	9	4305
1_	20	4	0	10	18	3855
1_	20	4	0	11	3	3762
1_	20	4	0	12	2	5812
1_	20	4	1	13	13	1717
1_	20	4	0	14	17	3510
1_	20	4	0	15	6	3034
1_	20	4	1	16	16	3718
1_	20	4	0	17	4	3319
1_	20	4	0	18	5	8560
1_	22	4	1	1	1	1668
1_	22	4	0	2	10	2921
1_	22	4	0	3	16	3253
1_	22	4	0	4	3	5235
1_	22	4	1	5	5	7611
1_	22	4	1	6	6	1780
1_	22	4	0	7	12	8750
1_	22	4	1	8	8	1497
1_	22	4	1	9	9	4441
1_	22	4	0	10	15	2992
1_	22	4	0	11	3	7653
1_	22	4	0	12	4	2141
1_	22	4	0	13	11	8949
1_	22	4	1	14	14	2307
