Condition	Subject	Session	Correct	CorrectAns	Response	TestIndex	RT	SessionTime
2_	38	1	0	4	6	4	8577	16:05:25
2_	38	1	1	5	5	5	3532	16:05:25
2_	38	1	0	6	11	6	15976	16:05:25
2_	38	1	1	7	7	7	1420	16:05:25
2_	38	1	1	8	8	8	4259	16:05:25
2_	38	1	1	9	9	9	4286	16:05:25
2_	38	1	1	10	10	10	2164	16:05:25
2_	38	1	0	11	14	11	12820	16:05:25
2_	38	1	0	12	13	12	4556	16:05:25
2_	38	1	0	13	16	13	6167	16:05:25
2_	38	1	0	14	11	14	3706	16:05:25
2_	38	1	1	15	15	15	1656	16:05:25
2_	38	1	0	16	17	16	6210	16:05:25
2_	38	1	0	17	12	17	5515	16:05:25
2_	38	1	1	18	18	18	7100	16:05:25
3_	27	4	0	1	2	1	1591	14:52:23
3_	27	4	0	2	8	2	1280	14:52:23
3_	27	4	0	3	7	3	969	14:52:23
3_	27	4	0	4	18	4	1363	14:52:23
3_	27	4	0	5	1	5	3230	14:52:23
3_	27	4	0	6	17	6	2041	14:52:23
3_	27	4	0	7	10	7	2992	14:52:23
3_	27	4	0	8	3	8	1674	14:52:23
3_	27	4	0	9	12	9	2291	14:52:23
3_	27	4	0	10	14	10	1523	14:52:23
3_	27	4	0	11	13	11	1543	14:52:23
3_	27	4	0	12	6	12	1335	14:52:23
3_	27	4	1	13	13	13	3781	14:52:23
3_	27	4	0	14	9	14	2083	14:52:23
3_	27	4	0	15	16	15	1395	14:52:23
3_	27	4	1	16	16	16	2138	14:52:23
3_	27	4	0	17	11	17	3431	14:52:23
3_	27	4	0	18	17	18	2319	14:52:23
3_	32	4	0	1	4	1	7120	15:27:29
3_	32	4	0	2	10	2	4062	15:27:29
3_	32	4	1	3	3	3	5436	15:27:29
3_	32	4	0	4	2	4	4912	15:27:29
3_	32	4	0	5	2	5	3134	15:27:29
3_	32	4	0	6	8	6	6228	15:27:29
3_	32	4	1	7	7	7	1302	15:27:29
3_	32	4	0	8	15	8	1778	15:27:29
3_	32	4	0	9	6	9	2520	15:27:29
3_	32	4	0	10	5	10	7134	15:27:29
3_	32	4	1	11	11	11	1422	15:27:29
3_	32	4	1	12	12	12	2094	15:27:29
3_	32	4	1	13	13	13	4191	15:27:29
3_	32	4	1	14	14	14	2023	15:27:29
3_	32	4	1	15	15	15	3064	15:27:29
3_	32	4	1	16	16	16	4511	15:27:29
3_	32	4	1	17	17	17	1177	15:27:29
3_	32	4	1	18	18	18	1810	15:27:29
3_	38	4	1	1	1	1	1475	16:29:55
3_	38	4	1	2	2	2	6062	16:29:55
3_	38	4	1	3	3	3	4812	16:29:55
3_	38	4	1	4	4	4	4822	16:29:55
3_	38	4	1	5	5	5	2108	16:29:55
3_	38	4	1	6	6	6	2209	16:29:55
3_	38	4	1	7	7	7	1772	16:29:55
3_	38	4	0	8	15	8	6632	16:29:55
3_	38	4	0	9	4	9	7558	16:29:55
3_	38	4	0	10	8	10	6434	16:29:55
3_	38	4	1	11	11	11	4061	16:29:55
3_	38	4	1	12	12	12	1850	16:29:55
3_	38	4	1	13	13	13	2113	16:29:55
3_	38	4	1	14	14	14	3305	16:29:55
3_	38	4	1	15	15	15	2341	16:29:55
3_	38	4	1	16	16	16	1497	16:29:55
3_	38	4	1	17	17	17	1533	16:29:55
3_	38	4	1	18	18	18	3562	16:29:55
4_	27	3	0	1	15	1	1755	14:44:22
4_	27	3	0	2	16	2	2055	14:44:22
4_	27	3	1	3	3	3	3066	14:44:22
4_	27	3	0	4	13	4	1931	14:44:22
4_	27	3	1	5	5	5	1974	14:44:22
4_	27	3	0	6	12	6	2836	14:44:22
4_	27	3	0	7	1	7	2577	14:44:22
4_	27	3	0	8	6	8	3807	14:44:22
4_	27	3	1	9	9	9	2809	14:44:22
4_	27	3	0	10	2	10	1901	14:44:22
4_	27	3	0	11	13	11	2456	14:44:22
4_	27	3	0	12	16	12	2540	14:44:22
4_	27	3	0	13	10	13	6103	14:44:22
4_	27	3	0	14	18	14	2363	14:44:22
4_	27	3	0	15	7	15	4675	14:44:22
4_	27	3	0	16	4	16	2234	14:44:22
4_	27	3	0	17	18	17	3374	14:44:22
4_	27	3	0	18	14	18	2155	14:44:22
4_	32	3	0	1	16	1	5436	15:18:45
4_	32	3	1	2	2	2	3164	15:18:45
4_	32	3	1	3	3	3	1470	15:18:45
4_	32	3	0	4	1	4	11285	15:18:45
4_	32	3	0	5	14	5	7338	15:18:45
4_	32	3	1	6	6	6	2193	15:18:45
4_	32	3	1	7	7	7	2348	15:18:45
4_	32	3	1	8	8	8	2527	15:18:45
4_	32	3	1	9	9	9	2132	15:18:45
4_	32	3	1	10	10	10	2233	15:18:45
4_	32	3	1	11	11	11	1757	15:18:45
4_	32	3	1	12	12	12	5417	15:18:45
4_	32	3	1	13	13	13	3645	15:18:45
4_	32	3	0	14	5	14	5356	15:18:45
4_	32	3	1	15	15	15	6001	15:18:45
4_	32	3	1	16	16	16	1998	15:18:45
4_	32	3	0	17	4	17	10333	15:18:45
4_	32	3	1	18	18	18	1639	15:18:45
4_	38	3	0	1	16	1	6940	16:22:07
4_	38	3	0	2	16	2	2778	16:22:07
4_	38	3	1	3	3	3	1848	16:22:07
4_	38	3	1	4	4	4	2367	16:22:07
4_	38	3	1	5	5	5	1726	16:22:07
4_	38	3	0	6	15	6	4620	16:22:07
4_	38	3	1	7	7	7	3246	16:22:07
4_	38	3	0	8	9	8	3844	16:22:07
4_	38	3	0	9	1	9	7556	16:22:07
4_	38	3	1	10	10	10	2786	16:22:07
4_	38	3	0	11	13	11	9771	16:22:07
4_	38	3	1	12	12	12	1233	16:22:07
4_	38	3	0	13	17	13	4878	16:22:07
4_	38	3	0	14	16	14	2185	16:22:07
4_	38	3	1	15	15	15	3330	16:22:07
4_	38	3	0	16	6	16	3529	16:22:07
4_	38	3	1	17	17	17	1869	16:22:07
4_	38	3	1	18	18	18	2181	16:22:07
1_	28	2	1	1	1	1	2011	14:21:32
1_	28	2	0	2	9	2	2287	14:21:32
1_	28	2	0	3	2	3	1179	14:21:32
1_	28	2	1	4	4	4	817	14:21:32
1_	28	2	0	5	9	5	340	14:21:32
1_	28	2	0	6	8	6	638	14:21:32
1_	28	2	0	7	16	7	1173	14:21:32
1_	28	2	0	8	16	8	1148	14:21:32
1_	28	2	1	9	9	9	709	14:21:32
1_	28	2	0	10	5	10	1071	14:21:32
1_	28	2	0	11	18	11	1375	14:21:32
1_	28	2	0	12	4	12	876	14:21:32
1_	28	2	0	13	12	13	652	14:21:32
1_	28	2	1	14	14	14	595	14:21:32
1_	28	2	0	15	9	15	709	14:21:32
1_	28	2	0	16	4	16	644	14:21:32
1_	28	2	0	17	10	17	566	14:21:32
1_	28	2	0	18	4	18	615	14:21:32
1_	33	2	0	1	14	1	2641	15:02:57
1_	33	2	0	2	18	2	7972	15:02:57
1_	33	2	0	3	4	3	2538	15:02:57
1_	33	2	0	4	6	4	2947	15:02:57
1_	33	2	1	5	5	5	4708	15:02:57
1_	33	2	0	6	3	6	2432	15:02:57
1_	33	2	0	7	10	7	2325	15:02:57
1_	33	2	0	8	3	8	2074	15:02:57
1_	33	2	1	9	9	9	3873	15:02:57
1_	33	2	0	10	16	10	2433	15:02:57
1_	33	2	1	11	11	11	1163	15:02:57
1_	33	2	0	12	17	12	4766	15:02:57
1_	33	2	1	13	13	13	1974	15:02:57
1_	33	2	0	14	12	14	1924	15:02:57
1_	33	2	1	15	15	15	4171	15:02:57
1_	33	2	0	16	1	16	2672	15:02:57
1_	33	2	0	17	6	17	2424	15:02:57
1_	33	2	0	18	8	18	5086	15:02:57
2_	28	1	1	1	1	1	1711	14:12:34
2_	28	1	0	2	16	2	611	14:12:34
2_	28	1	0	3	12	3	843	14:12:34
2_	28	1	0	4	12	4	1135	14:12:34
2_	28	1	0	5	6	5	658	14:12:34
2_	28	1	0	6	13	6	226	14:12:34
2_	28	1	1	7	7	7	705	14:12:34
2_	28	1	0	8	6	8	404	14:12:34
2_	28	1	0	9	17	9	263	14:12:34
2_	28	1	0	10	11	10	718	14:12:34
2_	28	1	1	11	11	11	1969	14:12:34
2_	28	1	0	12	3	12	1898	14:12:34
2_	28	1	1	13	13	13	1892	14:12:34
2_	28	1	0	14	17	14	1450	14:12:34
2_	28	1	0	15	10	15	3330	14:12:34
2_	28	1	0	16	4	16	3855	14:12:34
2_	28	1	0	17	6	17	1852	14:12:34
2_	28	1	0	18	13	18	1497	14:12:34
2_	33	1	0	1	15	1	5590	14:50:53
2_	33	1	0	2	11	2	4265	14:50:53
2_	33	1	0	3	6	3	4738	14:50:53
2_	33	1	0	4	1	4	5004	14:50:53
2_	33	1	0	5	18	5	3393	14:50:53
2_	33	1	0	6	14	6	1731	14:50:53
2_	33	1	0	7	9	7	2083	14:50:53
2_	33	1	1	8	8	8	1564	14:50:53
2_	33	1	0	9	16	9	4534	14:50:53
2_	33	1	0	10	4	10	3074	14:50:53
2_	33	1	0	11	5	11	2803	14:50:53
2_	33	1	0	12	2	12	1353	14:50:53
2_	33	1	1	13	13	13	1225	14:50:53
2_	33	1	0	14	9	14	3429	14:50:53
2_	33	1	0	15	16	15	5363	14:50:53
2_	33	1	0	16	12	16	1445	14:50:53
2_	33	1	0	17	2	17	1420	14:50:53
2_	33	1	0	18	16	18	1813	14:50:53
3_	28	4	0	1	12	1	472	14:35:08
3_	28	4	0	2	12	2	472	14:35:08
3_	28	4	0	3	6	3	744	14:35:08
3_	28	4	0	4	7	4	1106	14:35:08
3_	28	4	0	5	3	5	842	14:35:08
3_	28	4	0	6	16	6	521	14:35:08
3_	28	4	0	7	3	7	1195	14:35:08
3_	28	4	0	8	7	8	776	14:35:08
3_	28	4	0	9	6	9	524	14:35:08
3_	28	4	0	10	8	10	612	14:35:08
3_	28	4	0	11	17	11	507	14:35:08
3_	28	4	0	12	14	12	548	14:35:08
3_	28	4	0	13	11	13	592	14:35:08
3_	28	4	0	14	10	14	858	14:35:08
3_	28	4	0	15	10	15	617	14:35:08
3_	28	4	0	16	3	16	518	14:35:08
3_	28	4	0	17	11	17	511	14:35:08
3_	28	4	0	18	11	18	612	14:35:08
3_	33	4	0	1	12	1	2679	15:18:07
3_	33	4	1	2	2	2	2259	15:18:07
3_	33	4	1	3	3	3	1894	15:18:07
3_	33	4	0	4	11	4	8566	15:18:07
3_	33	4	0	5	6	5	2414	15:18:07
3_	33	4	0	6	10	6	1843	15:18:07
3_	33	4	1	7	7	7	1555	15:18:07
3_	33	4	1	8	8	8	2439	15:18:07
3_	33	4	0	9	11	9	3657	15:18:07
3_	33	4	0	10	6	10	2661	15:18:07
3_	33	4	0	11	10	11	2930	15:18:07
3_	33	4	0	12	14	12	2638	15:18:07
3_	33	4	1	13	13	13	1954	15:18:07
3_	33	4	0	14	1	14	2000	15:18:07
3_	33	4	0	15	4	15	1918	15:18:07
3_	33	4	1	16	16	16	2398	15:18:07
3_	33	4	0	17	18	17	4925	15:18:07
3_	33	4	0	18	8	18	2408	15:18:07
4_	28	3	0	1	12	1	740	14:28:26
4_	28	3	0	2	16	2	241	14:28:26
4_	28	3	0	3	12	3	623	14:28:26
4_	28	3	0	4	11	4	751	14:28:26
4_	28	3	0	5	16	5	589	14:28:26
4_	28	3	0	6	13	6	637	14:28:26
4_	28	3	0	7	16	7	588	14:28:26
4_	28	3	1	8	8	8	795	14:28:26
4_	28	3	0	9	12	9	810	14:28:26
4_	28	3	0	10	11	10	545	14:28:26
4_	28	3	0	11	18	11	608	14:28:26
4_	28	3	0	12	15	12	653	14:28:26
4_	28	3	0	13	6	13	1171	14:28:26
4_	28	3	0	14	15	14	662	14:28:26
4_	28	3	0	15	6	15	1053	14:28:26
4_	28	3	0	16	18	16	805	14:28:26
4_	28	3	0	17	15	17	445	14:28:26
4_	28	3	0	18	4	18	604	14:28:26
4_	33	3	0	1	18	1	1508	15:10:32
4_	33	3	0	2	1	2	1082	15:10:32
4_	33	3	0	3	5	3	1134	15:10:32
4_	33	3	0	4	10	4	2315	15:10:32
4_	33	3	0	5	8	5	1076	15:10:32
4_	33	3	0	6	3	6	1123	15:10:32
4_	33	3	0	7	16	7	1411	15:10:32
4_	33	3	0	8	4	8	1439	15:10:32
4_	33	3	1	9	9	9	1538	15:10:32
4_	33	3	0	10	11	10	1108	15:10:32
4_	33	3	0	11	5	11	1424	15:10:32
4_	33	3	1	12	12	12	1278	15:10:32
4_	33	3	0	13	14	13	2282	15:10:32
4_	33	3	0	14	11	14	1230	15:10:32
4_	33	3	0	15	13	15	1482	15:10:32
4_	33	3	0	16	7	16	1543	15:10:32
4_	33	3	0	17	8	17	1353	15:10:32
4_	33	3	0	18	15	18	2173	15:10:32
